Unnamed: 0,0,1,2,3,visit
99,물레방아 즉석구이,35.10104,129.03513,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511134126759_ttiel,427
100,양귀빈 식당 3호점,35.163265,129.116,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511135001245_ttiel,41
101,고민끝에여기,35.112698,129.03706,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511135506636_ttiel,610
102,명송초밥,35.101738,129.03586,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511140134038_ttiel,65
103,다께,35.138863,129.06076,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511140420748_ttiel,67
104,남포삼계탕,35.098812,129.03049,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511141051338_ttiel,507
105,지에이비148,35.145763,129.11497,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511141322616_ttiel,301
106,대수정,35.140755,129.06291,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511141556325_ttiel,556
107,목장원,35.07162,129.05736,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511141757671_ttiel,1571
108,톤쇼우,35.15631,129.12474,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511142349184_ttiel,3730
109,그라치에,35.089043,129.06154,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511142715519_ttiel,1300
110,황해도,35.1407,129.109,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511143741751_ttiel,41
111,프라한,35.146706,129.11386,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511145040294_ttiel,586
112,동촌황정순수육전골,35.13937,129.06071,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511153102499_ttiel,184
113,소우닭계,35.13942,129.0646,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511154322467_ttiel,415
114,양지추어탕,35.130672,129.04565,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511160051644_ttiel,165
115,오스테리아비비,35.12526,129.03906,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511161310859_ttiel,229
116,웅복,35.130657,129.0478,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511162214691_ttiel,98
117,초량통닭,35.118904,129.03996,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511163126270_ttiel,225
118,코카모메 초량점,35.116886,129.0351,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511164125446_ttiel,903
119,홍성방,35.113834,129.03781,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511165119901_ttiel,35
120,가두리닭숯불구이,35.204994,129.07947,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511172410854_ttiel,0
121,먹음직,35.19219,129.1003,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511173540705_ttiel,630
122,미미루,35.219486,129.08296,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511174445294_ttiel,1403
123,밀보스79,35.2058,129.08028,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511175416697_ttiel,751
124,순이네곱창,35.198902,129.09865,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512092026544_ttiel,181
125,세연정,35.20514,129.07704,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512093357835_ttiel,2256
126,조방낙지마당,35.19913,129.05907,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512094717830_ttiel,297
127,초록담미역국,35.194927,129.05786,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512100320359_ttiel,856
128,타이빈,35.216263,129.0773,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512101521175_ttiel,2877
129,경찰서 옆 초밥집,35.159702,129.05392,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512104118922_ttiel,844
130,동백아가씨1961,35.158566,129.064,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512105240390_ttiel,1314
131,로위버거,35.156338,129.06004,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512110929592_ttiel,1160
132,장어촌,35.15863,129.05667,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512112108020_ttiel,252
133,항정살구공탄,35.165436,129.03777,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512114353372_ttiel,180
134,금용,35.205463,128.99666,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512130126929_ttiel,76
135,웅천집,35.26257,129.0153,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512131313725_ttiel,104
136,이종임 전복뚝배기,35.230835,129.00897,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512133553898_ttiel,185
137,평양집,35.212116,129.00589,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512143357001_ttiel,186
138,대왕불맛,35.17614,128.99005,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512145041261_ttiel,7
139,올리브장작,35.162926,128.98746,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512154744132_ttiel,697
140,전골[그집],35.149475,129.00208,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512155859812_ttiel,302
141,하오츠,35.155018,128.99106,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512162629589_ttiel,132
142,함양본가어탕국수,35.159695,128.98518,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512164338161_ttiel,69
143,오공떵번,35.105663,128.9738,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512165954952_ttiel,419
144,옥미아구찜 하단점,35.105244,128.9706,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512171230301_ttiel,326
145,우연횟집,35.11137,128.96355,https://www.visitbusan.net/uploadImgs/files/cntnts/20220512175424144_ttiel,394
