업체명,위도,경도,url
호텔라움,35.3160994,129.1809748,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔썸,35.31610989,129.181374,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
더원호텔,35.31639229,129.1842866,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔여기어때,35.31622426,129.1827183,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
리베모텔,35.13574794,129.092109,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
브이모텔,35.13528827,129.0862611,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔스미스,35.13521422,129.0849343,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
보스코호텔,35.13535219,129.0873566,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔브라운도트 대연점,35.13453381,129.0892951,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔뮤리,35.13547057,129.0908831,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
낙원모텔,35.13553131,129.0907202,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
황금모텔,35.13461686,129.0904076,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
뮤트호텔,35.13464742,129.0907994,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
용궁모텔,35.12998202,129.0913517,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
코리아호텔,35.13275907,129.0923112,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔더그랑,35.13477312,129.0937138,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
꿈모텔,35.13476252,129.0938887,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
유니콘모텔,35.1346684,129.0916322,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
지앤지호텔,35.13460158,129.0900052,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
제트호텔,35.13463791,129.0909951,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
K모텔,35.13464223,129.0913184,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
루이모텔,35.13445751,129.0878116,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
